precision,recall,threshold
0.2654364797728886,1.0,0.0020579901744549453
0.265625,1.0,0.0020638710276221846
0.2658137882018479,1.0,0.002079373573374487
0.26600284495021337,1.0,0.002113728711134972
0.2661921708185053,1.0,0.0021600779497421767
0.26638176638176636,1.0,0.002276847451048267
0.26657163221667857,1.0,0.0023191907118642933
0.26676176890156916,1.0,0.0023852761249959073
0.2669521770164168,1.0,0.002581173189806392
0.2671428571428571,1.0,0.0026251168890460957
0.2673338098641887,1.0,0.002759192821654946
0.2675250357653791,1.0,0.0027773019719968205
0.2677165354330709,1.0,0.0027984798168524633
0.2679083094555874,1.0,0.002799514584857948
0.26810035842293906,1.0,0.002827300053518814
0.2682926829268293,1.0,0.002841927747597527
0.2684852835606604,1.0,0.0029035805983129432
0.2686781609195402,1.0,0.0030075193865317304
0.26887131560028754,1.0,0.00303861765864945
0.26906474820143883,1.0,0.003119934548936143
0.26925845932325415,1.0,0.003125232249360696
0.26945244956772335,1.0,0.0031662018187300863
0.26964671953857244,1.0,0.0032272434197711986
0.2698412698412698,1.0,0.0033108548007407756
0.2700361010830325,1.0,0.0033273900633014803
0.2702312138728324,1.0,0.0033408230446726646
0.27042660882140274,1.0,0.003350674290789895
0.2706222865412446,1.0,0.0035824047805093073
0.27081824764663287,1.0,0.0035956691738193327
0.2710144927536232,1.0,0.0035990716763028784
0.271211022480058,1.0,0.0036758894264738687
0.2714078374455733,1.0,0.003676585149250042
0.2716049382716049,1.0,0.0036767486829724096
0.27180232558139533,1.0,0.0037164405446745434
0.272,1.0,0.003763331900650683
0.27219796215429404,1.0,0.0037927753106114636
0.27239621267297887,1.0,0.0038059660373554586
0.2725947521865889,1.0,0.003905459904753715
0.2727935813274982,1.0,0.003996820153743716
0.272992700729927,1.0,0.004045118942243753
0.2731921110299489,1.0,0.004074333034427768
0.2733918128654971,1.0,0.004097004715487664
0.27359180687637163,1.0,0.004136742587328192
0.27379209370424595,1.0,0.004176984638357938
0.273992673992674,1.0,0.004177025288498616
0.27419354838709675,1.0,0.004215364964252361
0.2743947175348496,1.0,0.004422415492514862
0.2745961820851689,1.0,0.004483612337278571
0.2747979426891991,1.0,0.004488890674572268
0.275,1.0,0.004516879164062084
0.27520235467255333,1.0,0.004534672131908465
0.27540500736377027,1.0,0.004636779352211514
0.27560795873249816,1.0,0.004760761387038762
0.275811209439528,1.0,0.004871691091849453
0.27601476014760146,1.0,0.004872243286198612
0.276218611521418,1.0,0.004933763382937582
0.2764227642276423,1.0,0.004944407823333182
0.27662721893491127,1.0,0.004995304342368382
0.2768319763138416,1.0,0.005007677963034258
0.277037037037037,1.0,0.00502371703616322
0.27724240177909565,1.0,0.005115369993973759
0.2774480712166172,1.0,0.005164843270923351
0.27765404602821087,1.0,0.005192417958010381
0.27786032689450224,1.0,0.005268303832987525
0.27806691449814125,1.0,0.0053031000171433786
0.27827380952380953,1.0,0.005313157983661641
0.27848101265822783,1.0,0.0053524916718776586
0.2786885245901639,1.0,0.005517332926458447
0.27889634601043994,1.0,0.005544876478236256
0.2791044776119403,1.0,0.005594084668990552
0.2793129200896191,1.0,0.005661223424450068
0.2795216741405082,1.0,0.005692043109786965
0.27973074046372476,1.0,0.005699379442201033
0.27994011976047906,1.0,0.005798277740131005
0.2801498127340824,1.0,0.005822770046375362
0.280359820089955,1.0,0.005865087462540314
0.2805701425356339,1.0,0.006019081059473075
0.2807807807807808,1.0,0.006119810456425058
0.2809917355371901,1.0,0.006140780786217615
0.281203007518797,1.0,0.006258729385504508
0.28141459744168545,1.0,0.006390092486867278
0.2816265060240964,1.0,0.006393188739423912
0.28108515448379806,0.9973262032085561,0.006394745537739927
0.2812971342383107,0.9973262032085561,0.006474513701319129
0.28150943396226413,0.9973262032085561,0.006507491886890131
0.28172205438066467,0.9973262032085561,0.006514813766071911
0.2819349962207105,0.9973262032085561,0.006538328448066094
0.2821482602118003,0.9973262032085561,0.006552327144431241
0.28236184708554124,0.9973262032085561,0.006589616370330319
0.2825757575757576,0.9973262032085561,0.006671203009254711
0.28278999241849884,0.9973262032085561,0.006731298100969532
0.2830045523520486,0.9973262032085561,0.006743181262095488
0.2832194381169324,0.9973262032085561,0.006819216026926873
0.28343465045592703,0.9973262032085561,0.006870139975169776
0.28365019011406845,0.9973262032085561,0.006894857582746485
0.2838660578386606,0.9973262032085561,0.006964324966722664
0.2840822543792841,0.9973262032085561,0.007017808694348378
0.2842987804878049,0.9973262032085561,0.007108361786034407
0.28451563691838294,0.9973262032085561,0.007166771363016744
0.28473282442748094,0.9973262032085561,0.007209734501378008
0.2849503437738732,0.9973262032085561,0.0075005026800482434
0.2851681957186544,0.9973262032085561,0.007519085851215091
0.28538638102524866,0.9973262032085561,0.007519456799431427
0.28560490045941805,0.9973262032085561,0.007659955066041897
0.285823754789272,0.9973262032085561,0.007810924046374334
0.2860429447852761,0.9973262032085561,0.00789747024470623
0.28626247122026094,0.9973262032085561,0.008036970254184254
0.28648233486943164,0.9973262032085561,0.008126722412969684
0.28670253651037664,0.9973262032085561,0.008214530495889695
0.28692307692307695,0.9973262032085561,0.00823695633368736
0.28714395688991534,0.9973262032085561,0.00823756952148484
0.28736517719568566,0.9973262032085561,0.008263642442689985
0.28758673862760215,0.9973262032085561,0.008277680054243869
0.28780864197530864,0.9973262032085561,0.008560298148171325
0.28803088803088805,0.9973262032085561,0.008669051884907707
0.2882534775888717,0.9973262032085561,0.008701753848494092
0.288476411446249,0.9973262032085561,0.008736475701552488
0.2886996904024768,0.9973262032085561,0.008817203721647035
0.2889233152594888,0.9973262032085561,0.00900605247279661
0.28914728682170543,0.9973262032085561,0.009079006116771324
0.28937160589604344,0.9973262032085561,0.009132312402910172
0.28959627329192544,0.9973262032085561,0.009202374357222059
0.2898212898212898,0.9973262032085561,0.009222103820344022
0.2900466562986003,0.9973262032085561,0.009285305021332249
0.29027237354085605,0.9973262032085561,0.009495625316440727
0.29049844236760125,0.9973262032085561,0.009520975152545984
0.2907248636009353,0.9973262032085561,0.009702461822970923
0.2909516380655226,0.9973262032085561,0.009854847966338535
0.29117876658860264,0.9973262032085561,0.009951679942091528
0.29140625,0.9973262032085561,0.010055208940385358
0.29163408913213446,0.9973262032085561,0.010092836660901596
0.2918622848200313,0.9973262032085561,0.010093472306623113
0.2920908379013312,0.9973262032085561,0.010135627905855893
0.29231974921630094,0.9973262032085561,0.010337390168402462
0.29254901960784313,0.9973262032085561,0.01036283840939676
0.29277864992150704,0.9973262032085561,0.01054472093281872
0.29300864100549884,0.9973262032085561,0.01069440157603633
0.29323899371069184,0.9973262032085561,0.011025384570743514
0.2934697088906373,0.9973262032085561,0.011105966631269684
0.2937007874015748,0.9973262032085561,0.011203578969959055
0.29393223010244285,0.9973262032085561,0.011263718748047111
0.2941640378548896,0.9973262032085561,0.011358699485105659
0.2936069455406472,0.9946524064171123,0.01139762275726256
0.2938388625592417,0.9946524064171123,0.011529255413893361
0.2940711462450593,0.9946524064171123,0.011532912849092358
0.29430379746835444,0.9946524064171123,0.011781739072250205
0.29453681710213775,0.9946524064171123,0.011944165174774401
0.294770206022187,0.9946524064171123,0.01231664087370538
0.2950039651070579,0.9946524064171123,0.012579683657728227
0.29523809523809524,0.9946524064171123,0.012947746828429302
0.29547259729944403,0.9946524064171123,0.012965880058872647
0.2957074721780604,0.9946524064171123,0.013045831301769867
0.29594272076372313,0.9946524064171123,0.013104813774637465
0.2961783439490446,0.9946524064171123,0.013228408377908318
0.2964143426294821,0.9946524064171123,0.013432699686199886
0.2966507177033493,0.9946524064171123,0.013481924495303473
0.2968874700718276,0.9946524064171123,0.013516006111568127
0.2971246006389776,0.9946524064171123,0.013583818759505253
0.2973621103117506,0.9946524064171123,0.013598240371774767
0.2976,0.9946524064171123,0.013668053685835657
0.2978382706164932,0.9946524064171123,0.013740616211875098
0.2980769230769231,0.9946524064171123,0.01377275264264209
0.2983159582999198,0.9946524064171123,0.014064172804439815
0.2985553772070626,0.9946524064171123,0.01413504765216853
0.2987951807228916,0.9946524064171123,0.014212624039302008
0.2990353697749196,0.9946524064171123,0.014238133209054066
0.29927594529364443,0.9946524064171123,0.014391503790091483
0.2995169082125604,0.9946524064171123,0.014475394931939051
0.2997582594681708,0.9946524064171123,0.014649264605223042
0.3,0.9946524064171123,0.01465485772116113
0.30024213075060535,0.9946524064171123,0.014836538694888976
0.30048465266558966,0.9946524064171123,0.0148759394712726
0.30072756669361356,0.9946524064171123,0.015154169515976751
0.30097087378640774,0.9946524064171123,0.01523583727317671
0.30121457489878545,0.9946524064171123,0.015328574186461469
